rand_num,name,MC-Mean,MC-STD,NN-Dist,IM1,IM2,optim_time
1,PIECE,1.0,0.0,0.45766848377754943,0.4545931515852705,0.015489440289663547,6.298185348510742
2,PIECE,1.0,0.0,0.30426611058231257,0.501568126795133,0.014585110662288576,5.79937481880188
1,PIECE,1.0,0.0,0.45766848377754943,0.4545931515852705,0.015489440289663547,5.578222274780273
2,PIECE,1.0,0.0,0.30426611058231257,0.501568126795133,0.014585110662288576,5.483402967453003
3,PIECE,1.0,0.0,0.4319185626097605,0.8435642629756873,0.011346255330607976,5.871645927429199
4,PIECE,0.999999997138977,9.0428241515803e-08,0.7146105262942657,0.9369768529986048,0.0368634648360352,5.6439807415008545
5,PIECE,1.0,0.0,0.34305858864044736,0.9816113669669448,0.009807798795894163,5.956752300262451
6,PIECE,1.0,0.0,0.30948158567710704,0.05361625156421749,0.03043965649026692,5.565731763839722
7,PIECE,1.0,0.0,0.31516293208737706,0.9069748934166061,0.016943853162522397,5.714268207550049
8,PIECE,1.0,0.0,0.5549691790009443,0.8733638469546698,0.04874204701590976,5.785532712936401
9,PIECE,1.0,0.0,0.22153985037632676,0.02344117194008656,0.012480074482324494,5.6608827114105225
10,PIECE,1.0,0.0,0.35130151368581775,0.6732413169257359,0.01188401381956864,5.589201927185059
11,PIECE,1.0,0.0,0.3492330700243415,0.9847942253114222,0.03379677788018571,5.578348875045776
12,PIECE,1.0,0.0,0.3613460123887363,21.596049806450722,0.8263693240950306,5.64934515953064
13,PIECE,0.9999976115226745,5.9563122616049264e-05,0.7193846286067934,0.9729325918696528,0.014522395731593155,5.521984100341797
14,PIECE,1.0,0.0,0.34896244441119917,0.8995530436927878,0.01648486623310632,5.534713268280029
15,PIECE,1.0,0.0,0.3913451596239769,0.8379844316190447,0.017408526040855934,5.824685573577881
16,PIECE,1.0,0.0,0.5286759471202375,0.9210631934291361,0.011722828483142598,5.602169513702393
17,PIECE,1.0,0.0,0.5198065562842649,0.7672862395682795,0.017674325805669844,6.196203947067261
18,PIECE,1.0,0.0,0.31670592495111477,0.7940717474052698,0.009549763506438843,5.614591836929321
19,PIECE,1.0,0.0,0.31317041945523433,0.11167917859489543,0.03993292299478325,5.838995695114136
20,PIECE,1.0,0.0,0.13360516769684602,73.14221809388566,0.9229463563907149,5.602690696716309
21,PIECE,1.0,0.0,0.3073039143855876,0.8912310089558151,0.018528192013626037,5.696949005126953
22,PIECE,1.0,0.0,0.27236373129183095,0.8899482903388789,0.022500583757788028,5.573534250259399
23,PIECE,1.0,0.0,0.26105585453692526,0.02429178795502702,0.010435076125369896,5.606113433837891
24,PIECE,1.0,0.0,0.5378876862920573,0.6190132178725298,0.01578590859145613,5.628910779953003
25,PIECE,1.0,0.0,0.30050187954679275,0.46841579263671507,0.06356679896973455,5.744985103607178
26,PIECE,1.0,0.0,0.29420541248346355,0.983748284029262,0.0283535305832823,6.043865203857422
27,PIECE,1.0,0.0,0.2374956088341209,1.1356305665999804,0.006261639016123317,5.691710948944092
28,PIECE,1.0,0.0,0.36426566661165133,0.8338893597273325,0.014889606840617478,5.623286962509155
29,PIECE,0.9999999338388443,2.0129397504196356e-06,0.5252118180003345,0.7334017989293201,0.032833189875196386,5.6142942905426025
30,PIECE,1.0,0.0,0.3012665636455049,0.7257174947967723,0.007191888793703227,5.513474464416504
31,PIECE,1.0,0.0,0.32025070225029306,0.8240394457544263,0.011248560910102795,5.571547985076904
32,PIECE,1.0,0.0,0.31840535944795056,0.7199156291885369,0.008887360934810972,5.724539279937744
33,PIECE,1.0,0.0,0.378267313738674,0.8976255691332247,0.008192565537711345,5.914019823074341
34,PIECE,0.9999933996200562,0.00019097476962950065,0.6126606333030484,0.21235096117000804,0.08577805750922535,5.690915107727051
35,PIECE,1.0,0.0,0.4204680715489413,0.9339751089967584,0.02159976528234869,5.593072414398193
36,PIECE,1.0,0.0,0.4247614355947847,1.0261243630035226,0.008858246919940522,5.707620859146118
37,PIECE,0.9999999045133591,3.018042560589926e-06,0.6556533414388933,1.0185696286276533,0.057319825757471285,6.165544748306274
38,PIECE,1.0,0.0,0.46169656306755213,1.1328693906050575,0.013991023161243975,5.715363025665283
39,PIECE,1.0,0.0,0.4118118715022477,0.6323869755594672,0.03633418186591461,5.677155017852783
40,PIECE,1.0,0.0,0.6368958311727493,1.1290343568824608,0.012967829346062847,5.5747528076171875
41,PIECE,1.0,0.0,0.4152139912394886,0.5855491560962331,0.03016024797146084,5.572889566421509
