rand_num,name,MC-Mean,MC-STD,NN-Dist,IM1,IM2,optim_time
1,PIECE,164137.2269812546,706358.8034176439,0.4415604120936322,0.445812949911432,0.01433841410906325,6.060817241668701
2,PIECE,119170.44891744995,498708.2567327531,0.2687298836295209,0.49039866607344024,0.01461407504683448,6.2470245361328125
3,PIECE,78506.33599359894,178852.70303861497,0.43639099667364933,0.8352333268053939,0.011201273801720776,7.233074426651001
4,PIECE,66586.20620611572,139411.9109761724,0.4766021979910867,0.7652371177259418,0.01711655058091638,6.021035194396973
5,PIECE,103988.92818457031,189387.5412744905,0.38321519191088704,1.0082608592417261,0.009055235502983646,5.4916298389434814
6,PIECE,40219.27380896759,68847.17923916009,0.3455522270783295,0.06438903256754414,0.032423943165338115,5.692577600479126
7,PIECE,52224.907061813356,121613.89828034393,0.31814442615336996,0.9156559002460578,0.016512688978310815,5.906025648117065
8,PIECE,46816.20721337509,114550.57163417374,0.5473396322328171,0.8606782803746529,0.04644940693698348,5.934513092041016
9,PIECE,28924.797845878602,51201.402104146684,0.28625159292701946,0.03174611392022636,0.014314323492519815,6.722682476043701
10,PIECE,238225.71741384125,824492.1013121449,0.363741563533849,0.6853971493775022,0.01151459542141777,6.68898344039917
11,PIECE,204426.64125971985,605420.584179569,0.40084170857590445,0.7975119042178818,0.018884400871758123,6.557265043258667
12,PIECE,7014.370146196366,9850.159889545022,0.4409865786180716,25.08204337140812,0.8263107237124981,6.622547626495361
13,PIECE,54108.74706105804,132468.11179784755,0.45761264191693707,0.6891386602491871,0.01928274988503212,6.338505506515503
14,PIECE,407560.8843070984,1038487.0745836414,0.41284866230027645,0.813435841325883,0.020503471846312706,6.633591413497925
15,PIECE,50344.4536159668,122424.00180109344,0.4029819703497066,0.8796997422744279,0.016963829287601536,5.9150495529174805
16,PIECE,225970.7092251358,525806.4269970926,0.4157777724887276,0.9848606224825017,0.01400864703283188,6.666369438171387
17,PIECE,52453.68833842468,100067.88380164641,0.37563251466902703,0.7000457892580865,0.017065671106320554,6.04910135269165
18,PIECE,204984.7410765686,460416.95143893495,0.3162050426095185,0.8005473876790171,0.009647201435472695,6.26265811920166
19,PIECE,65325.65351097107,150726.9227477882,0.363817298747901,0.08247049096108854,0.02443150859592224,6.554733037948608
20,PIECE,36161.451103302,74909.65137784771,0.13863121848550505,72.53876896702015,0.9222350185088519,6.60848593711853
21,PIECE,92187.11996829223,246798.90916765996,0.33936987151319015,0.9189404727387421,0.015897463688551577,7.042485237121582
22,PIECE,205148.1561625824,603339.8439067169,0.27199761149577567,0.8825308260468503,0.02211928767304661,6.543331861495972
23,PIECE,140791.00610379028,313593.1732010347,0.25529089458621373,0.024317780384281472,0.010263386823635555,5.923043727874756
24,PIECE,382571.68583599856,1106323.2841897437,0.3421303176477646,0.5971107042147646,0.018544559051952764,6.425773620605469
25,PIECE,60292.81792383385,172549.29940753852,0.300380623171071,0.46786578011570784,0.06322668796931762,6.717814922332764
26,PIECE,21559.553793807983,31747.944321053612,0.2734744082542964,1.0772049869279208,0.02353305989552861,6.46369743347168
27,PIECE,117827.5069797697,244402.47059032557,0.23632433681166917,0.9113207365370474,0.007404419906082364,6.476386070251465
28,PIECE,115824.37657067871,281633.75108400325,0.3828408653303434,0.7551052865522285,0.016422622417828752,6.731748819351196
29,PIECE,8552.330367107392,13676.626278899832,0.5593950485073831,0.7582633741274603,0.03242768742172691,6.748790502548218
30,PIECE,225758.80512166597,615148.6749032948,0.31173159851235005,0.721464929998135,0.007386445929641123,6.594618558883667
31,PIECE,262080.62527266692,1048851.0189209986,0.30212558438009074,0.7697108903971465,0.01150041170598526,7.0815417766571045
32,PIECE,80182.15311766815,190190.32935366573,0.34012767329986604,0.7154199544523555,0.00907074398909674,7.471742630004883
33,PIECE,172615.9517863617,496515.70450762345,0.34571192984007987,0.8646671566113022,0.010491894502221162,6.681211709976196
34,PIECE,106.78100269508361,115.05358135481066,0.7035982327631665,0.1655300418554964,0.07857929484184238,6.426787853240967
35,PIECE,52876.44997370148,109090.25769084903,0.4224886742145421,0.9223953051420537,0.021399455169442926,6.1773576736450195
36,PIECE,88286.6359830246,177226.82406184857,0.4229902383871362,1.0133125416594153,0.009681249618616173,6.062336444854736
37,PIECE,20533.628313574314,53216.415965429704,0.7640169500210825,1.1188195766080478,0.0693624631421616,6.550887107849121
38,PIECE,33514.46991207886,61683.44028957664,0.4932807913604433,1.1621343413984668,0.015335983210109575,7.114444732666016
39,PIECE,67933.59339116668,120933.86696514011,0.35093997361147566,0.5678677579227719,0.03109912608777202,6.1859965324401855
40,PIECE,101451.3376888504,272114.92210750765,0.5652667378936723,1.0359358159626346,0.011541634213234146,6.56327748298645
41,PIECE,54181.58283209229,100543.39613333427,0.36336973167970804,0.4986620328049448,0.021216256622596616,6.135605096817017
